time,Latitud,Longitud,Tiempo_Medicion,Vel_Viento,Direccion_Viento,Direccion_Viento_Modelo
2026-05-10,10.625,-85.875,,,,
2026-05-10,10.625,-85.625,,,,
2026-05-10,10.625,-85.375,,,,
2026-05-10,10.625,-85.125,,,,
2026-05-10,10.625,-84.875,,,,
2026-05-10,10.625,-84.625,,,,
2026-05-10,10.625,-84.375,,,,
2026-05-10,10.625,-84.125,,,,
2026-05-10,10.625,-83.875,,,,
2026-05-10,10.625,-83.625,,,,
2026-05-10,10.625,-83.375,,,,
2026-05-10,10.625,-83.125,,,,
2026-05-10,10.625,-82.875,,,,
2026-05-10,10.625,-82.625,,,,
2026-05-10,10.625,-82.375,,,,
2026-05-10,10.625,-82.125,,,,
2026-05-10,10.875,-86.875,,,,
2026-05-10,10.875,-86.625,,,,
2026-05-10,10.875,-86.375,,,,
2026-05-10,10.875,-86.125,,,,
2026-05-10,10.875,-85.875,,,,
2026-05-10,10.875,-85.625,,,,
2026-05-10,10.875,-85.375,,,,
2026-05-10,10.875,-85.125,,,,
2026-05-10,10.875,-84.875,,,,
2026-05-10,10.875,-84.625,,,,
2026-05-10,10.875,-84.375,,,,
2026-05-10,10.875,-84.125,,,,
2026-05-10,10.875,-83.875,,,,
2026-05-10,10.875,-83.625,,,,
2026-05-10,10.875,-83.375,,,,
2026-05-10,10.875,-83.125,,,,
2026-05-10,10.875,-82.875,,,,
2026-05-10,10.875,-82.625,,,,
2026-05-10,10.875,-82.375,,,,
2026-05-10,10.875,-82.125,,,,
2026-05-10,11.125,-86.875,,,,
2026-05-10,11.125,-86.625,,,,
2026-05-10,11.125,-86.375,,,,
2026-05-10,11.125,-86.125,,,,
2026-05-10,11.125,-85.875,,,,
2026-05-10,11.125,-85.625,,,,
2026-05-10,11.125,-85.375,,,,
2026-05-10,11.125,-85.125,,,,
2026-05-10,11.125,-84.875,,,,
2026-05-10,11.125,-84.625,,,,
2026-05-10,11.125,-84.375,,,,
2026-05-10,11.125,-84.125,,,,
2026-05-10,11.125,-83.875,,,,
2026-05-10,11.125,-83.625,,,,
2026-05-10,11.125,-83.375,,,,
2026-05-10,11.125,-83.125,,,,
2026-05-10,11.125,-82.875,,,,
2026-05-10,11.125,-82.625,,,,
2026-05-10,11.125,-82.375,,,,
2026-05-10,11.125,-82.125,,,,
2026-05-11,7.625,-86.875,2026-05-11 23:36:32,3.08,343.20000000000005,348.6
2026-05-11,7.625,-86.625,2026-05-11 23:36:32,2.75,342.70000000000005,343.70000000000005
2026-05-11,7.625,-86.375,2026-05-11 23:36:32,2.69,344.90000000000003,340.8
2026-05-11,7.625,-86.125,2026-05-11 23:36:32,2.56,346.90000000000003,341.20000000000005
2026-05-11,7.625,-85.875,2026-05-11 23:36:32,2.41,337.40000000000003,337.40000000000003
